index,Name,Platform,RatingOutOf20,Publisher,Year,Classification,Description,Genre
83,Aliens vs Predator,PS3,12/20,Sega,2010.0,+18 ans,"More than 10 years after delivering the illustrious Alien vs Predator on PC, Rebellion is trying its luck again for a new episode. But in ten years, things happen. For example, a development studio can lose its splendor.",Shooter
84,Aliens vs Predator: Requiem,PSP,9/20,Vivendi Games,2007.0,+16 ans,"Aliens vs. Aliens will be released on January 2. Predator Requiem in the theaters of all cinemas in France and Navarre. And you can imagine that this new confrontation between the two most warlike races in the galaxy (with humans in the middle to look good) could not go without its video game adaptation. It remains to be seen if this one is as sexy as a Predator in a loincloth, or if, on the contrary, it is more reminiscent of a puddle of drool left behind by a sickly alien.",Action
85,All-Star Baseball 2002,PS2,13/20,Acclaim Entertainment,2001.0,+3 ans,"It's a risky bet that Acclaim is attempting here by offering us a simulation of Baseball, a legendary sport in the United States but which remains relatively unpopular here. In any case, here is an ambitious game but nevertheless without competition and if we can rejoice for the fans of this sport we can however criticize a half-hearted implementation and a principle of play which will remain obscure for the novice.",Sports
86,All-Star Baseball 2003,PS2,13/20,Acclaim Entertainment,2002.0,Unknown,"Expected as the messiah by fans, All Star Baseball 2003 follows in the footsteps of its ancestor by proving to be a title that will surely delight fans of the sport but leave neophytes in blissful perplexity. A complete title but whose success is not guaranteed.",Sports
87,All-Star Baseball 2004,PS2,13/20,Acclaim Entertainment,2003.0,+3 ans,"As unpopular as it is in France (much to my regret, by the way), baseball continues on its virtual merry way with the 2004 edition of All Star Baseball. It's still published by Acclaim and it's still incomprehensible for novices.",Sports
88,Alone in the Dark,PS2,12/20,Atari,2008.0,+18 ans,"The grandpa of survival horror, Edward Carnby, still hasn't found the switch. He returns to us in small form in a fifth episode of Alone in the Dark. This new adventure takes place today in a New York disfigured by strange cracks. The famous inspector of the strange is counting on you to help him shed light on the paranormal phenomena that are shaking Central Park.",Adventure
89,Alone in the Dark,Wii,11/20,Atari,2008.0,+18 ans,"The grandpa of survival horror, Edward Carnby, still hasn't found the switch. He returns to us in small form in a fifth episode of Alone in the Dark. This new adventure takes place today in a New York disfigured by strange cracks. The famous inspector of the strange is counting on you to help him shed light on the paranormal phenomena that are shaking Central Park.",Adventure
90,Alone in the Dark,PC,13/20,Atari,2008.0,+18 ans,"Although Edward Carnby has lived his entire life in the shadows, he does not despair of finding the light at the end of the tunnel. So, after having faced Lovecraftian fear and biohazardous terrors, here he is today roaming the streets of the Big Apple to confront a demonic entity. Or when Alone In The Dark meets Ghostbusters...",Adventure
91,Alone in the Dark: Inferno,PS3,13/20,Atari,2008.0,+18 ans,"Steeped in good intentions, the return of Alone in The Dark will have been a nice cold shower for some, notwithstanding the real qualities of the work in question. After listening to the complaints and other pleas from players, Eden revised her copy with this PS3 version by giving her baby the subtitle Inferno. Now, is that enough to shout to anyone who will listen that this version is by far the best on the market?",Adventure
92,Alpha Protocol,PC,13/20,Sega,2010.0,+18 ans,"Many times postponed, Alpha Protocol ventures into original territory: the contemporary RPG immersed in the wonderful world of espionage. An audacity which is to its credit but audacity is not everything and you have to know how to assume your ambitions.",Role-Playing
93,Alpha Protocol,PS3,13/20,Sega,2010.0,+18 ans,"Many times postponed, Alpha Protocol ventures into original territory: the contemporary RPG immersed in the wonderful world of espionage. An audacity which is to its credit but audacity is not everything and you have to know how to assume your ambitions.",Role-Playing
94,Alter Echo,PS2,11/20,THQ,2003.0,+12 ans,"Alter Echo is a bit of an archetype of the missed opportunity between good ideas and good execution. Rather original, this thrilling beat'em all suffers greatly from its technical aspect and perhaps even from its design which is as strange as it is confusing and repetitive. It's a shame.",Shooter
95,Altered Beast: Guardian of the Realms,GBA,14/20,THQ,2002.0,Unknown,"Have you ever opened your eyes and found yourself covered in hair, feathers or scales, howling at the moon your hatred of humankind? No, I hope not... However, if this has crossed your mind, it is an experience that Altered Beast: Guardian of the Realms could well provide you with. Coming from the well-known Altered Beast range, this title will take you back into an Antiquity already in ruins, to carve monsters throughout a so-to-speak Olympic journey. Ready ? Fire ! Mutate!",Action
96,Alvin and the Chipmunks,Wii,5/20,Eidos Interactive,2007.0,+3 ans,"Don't tell me you've never heard of Alvin and his two friends, Simon and Theodore? But yes, you know, these strange half-man, half-squirrel creatures called Chipmunks, straight out of the late 50s to sing us lullabies with their shrill voices. And you've probably heard them shouting in the corridors of your favorite cinema in recent weeks, since the guys have just made their big comeback. But who says film, often says video game, and unfortunately, that's where things take a very bad turn.",Misc
97,Alvin and the Chipmunks,Wii,12/20,Eidos Interactive,2007.0,+3 ans,"After a few appearances on various consoles, Alvin and his merry friends are now offering themselves a little delirium on Wii with a rather nice, although dispensable, dance game.",Misc
98,Alvin and the Chipmunks,PS2,5/20,Brash Entertainment,2007.0,+3 ans,"Don't tell me you've never heard of Alvin and his two friends, Simon and Theodore? But yes, you know, these strange half-man, half-squirrel creatures called Chipmunks, straight out of the late 50s to sing us lullabies with their shrill voices. And you've probably heard them shouting in the corridors of your favorite cinema in recent weeks, since the guys have just made their big comeback. But who says film, often says video game, and unfortunately, that's where things take a very bad turn.",Misc
99,Alvin and the Chipmunks,DS,7/20,Brash Entertainment,2007.0,+3 ans,"Don't tell me you've never heard of Alvin and his two friends, Simon and Theodore? But yes, you know, these strange half-man, half-squirrel creatures called Chipmunks, straight out of the late 50s to sing us lullabies with their shrill voices. And you've probably heard them shouting in the corridors of your favorite cinema in recent weeks, since the guys have just made their big comeback. But who says film, often says video game, and unfortunately, that's where things take a very bad turn.",Misc
100,AMF Bowling Pinbusters!,Wii,6/20,Bethesda Softworks,2007.0,+3 ans,"We can no longer count the Wii games which, inspired by Wii Sports, try with more or less success to make us sweat profusely in front of our television. A successful bet regarding this AMF Bowling Pinbusters coming out from behind the fagots, but unfortunately not for the right reasons.",Sports
